paper_id,title,doi,doi_url,venue,year
dbe1e9d1911e,QuantumLeap: Hybrid quantum neural network for financial predictions,10.1016/j.eswa.2022.116583,https://doi.org/10.1016/j.eswa.2022.116583,Expert systems with applications,2022
dc93502cbe99,Contribution of Disruptive Technologies in Computational Finance,10.4018/979-8-3693-1746-4.ch009,https://doi.org/10.4018/979-8-3693-1746-4.ch009,"Advances in finance, accounting, and economics book series",2023
dda6a6312022,Quantum Computing Meets Finance,10.1103/physics.18.154,https://doi.org/10.1103/physics.18.154,Physics,2025
ddd77f0637f4,Quantum generative modeling for financial time series with temporal correlations,10.1088/2632-2153/ae39a2,https://doi.org/10.1088/2632-2153/ae39a2,Machine Learning: Science and Technology,2025
dfd464e83103,Corrigendum to “Omnisolver: An extensible interface to Ising spin–glass and QUBO solvers” [SoftwareX 24 (2023) 101559],10.1016/j.softx.2024.101630,https://doi.org/10.1016/j.softx.2024.101630,SoftwareX,2024
e0da2160fe63,Time-domain-multiplexed Gaussian Boson sampling for graph problems in finance,10.1016/j.chip.2025.100181,https://doi.org/10.1016/j.chip.2025.100181,Chip,2025
e2976806d26c,Enhancing African market predictions: Integrating quantum computing with Echo State Networks,10.1016/j.sciaf.2024.e02299,https://doi.org/10.1016/j.sciaf.2024.e02299,Scientific African,2024
e37b332b43d5,FX Asian Option Pricing Using Quantum Computers,10.2139/ssrn.4137397,https://doi.org/10.2139/ssrn.4137397,SSRN Electronic Journal,2022
e505ff143d95,Quantum Machine Learning and Optimisation in Finance: Drive financial innovation with quantum-powered algorithms and optimisation strategies,,,Quantum Machine Learning and Optimisation in Finance Drive Financial Innovation with Quantum Powered Algorithms and Optimisation Strategies,2024
e513378d8c92,"AI, Data Science, and Quantum Neural Networks in E‑Commerce: Methods, Applications, Risks, and a Research Roadmap",10.64206/pp5nd013,https://doi.org/10.64206/pp5nd013,,2022
e69606eda4d4,Deep Neural Networks and Fan Tokens’ Pricing in Football Clubs,10.1177/18758967251388256,https://doi.org/10.1177/18758967251388256,Journal of Intelligent &amp; Fuzzy Systems: Applications in Engineering and Technology,2025
e82f44de737a,&lt;p&gt;&lt;b&gt;&lt;i&gt;Application of Quantum Computing Algorithms for Optimization of Tactical Asset Allocation in &lt;span&gt;&amp;nbsp;&lt;/span&gt;Portfolio Management&lt;/i&gt;&lt;/b&gt;&lt;/p&gt;,10.2139/ssrn.5257790,https://doi.org/10.2139/ssrn.5257790,SSRN Electronic Journal,2025
e8b9674d7c5e,Driving Operational Efficiency in Finance Through Strategic Automation and Process Optimization,10.32996/jcsts.2025.7.7.105,https://doi.org/10.32996/jcsts.2025.7.7.105,Journal of Computer Science and Technology Studies,2025
e9b892fcd6fc,Toward Efficient Credit Card Fraud Detection: Leveraging Quantum Neural Networks and Modified Feature Selection Techniques,10.53759/7669/jmc202505024,https://doi.org/10.53759/7669/jmc202505024,Journal of Machine and Computing,2025
ea3050e19cb2,11 Unveiling intelligence: exploring variational quantum circuits as machine learning models,10.1515/9783111342276-011,https://doi.org/10.1515/9783111342276-011,,2024
ea4504852540,"Quantum Binomial Tree, an Exponential Speedup for Derivative Pricing",10.2139/ssrn.4216595,https://doi.org/10.2139/ssrn.4216595,SSRN Electronic Journal,2022
eb49db8c70eb,derivatives_pricing_visualizer.py — Disruptive Derivatives Pricing Visualizer,10.5281/zenodo.18014195,https://doi.org/10.5281/zenodo.18014195,Zenodo (CERN European Organization for Nuclear Research),2025
ebc427ff9eca,The Semicircle Constraint: Geometric Foundations for Variational Quantum Algorithm Optimization,10.5281/zenodo.18406224,https://doi.org/10.5281/zenodo.18406224,Zenodo (CERN European Organization for Nuclear Research),2026
ee8331fcdc90,Designing PSS and SVC Parameters simultaneously through the Improved Quantum Algorithm in the Multi-machine Power System,,,,2018
ef99551dab0f,NExt ApplicationS of Quantum Computing D5.1: Review of state-of-the-art for Pricing and Computation of VaR,,,,2021
ef9db5fc8faa,Reinforcement Learning Meets Quantum Optimization: A New Paradigm for Dynamic Portfolio Management,10.64206/yk0c9a08,https://doi.org/10.64206/yk0c9a08,Global Journal of Intelligent Technologies,2025
f054252b17db,Adaptive AI and quantum computing for real-time financial fraud detection and cyber-attack prevention in U.S. healthcare,10.30574/wjarr.2025.26.2.1767,https://doi.org/10.30574/wjarr.2025.26.2.1767,World Journal of Advanced Research and Reviews,2025
f0cfc9685e15,Optimizing Feature Selection for Predictive Analytics With Quantum Algorithms,10.4018/979-8-3693-7673-7.ch009,https://doi.org/10.4018/979-8-3693-7673-7.ch009,"Advances in marketing, customer relationship management, and e-services book series",2024
f4883fc328d4,Error-Resilient Quantum Machine Learning for Real-World Optimization Problems in Finance and Supply Chain Networks,10.15408/inprime.v7i1.44960,https://doi.org/10.15408/inprime.v7i1.44960,InPrime Indonesian Journal of Pure and Applied Mathematics,2025
f5adfe23aa3d,Quantum optimization techniques and applications,10.1016/bs.adcom.2025.06.001,https://doi.org/10.1016/bs.adcom.2025.06.001,Advances in computers,2025
f67b13b40931,Integration of innovative business models using quantum computing and generative AI,10.1201/9781003597414-23,https://doi.org/10.1201/9781003597414-23,,2025
f88bb4cc0c22,Systematic Review on the Influence of Classical and Quantum Machine Learning in the Financial Sector,10.1016/j.dsm.2026.01.001,https://doi.org/10.1016/j.dsm.2026.01.001,Data Science and Management,2026
f9a4ea0df88e,Quantum Time-Energy Theory (QTET) & UTRER: AFFIDAVIT,10.5281/zenodo.17512580,https://doi.org/10.5281/zenodo.17512580,Zenodo (CERN European Organization for Nuclear Research),2025
fa9e2c7101b8,QAOA Applications in Finance,,,Bulletin of the American Physical Society,2021
fb499d357762,A quantum portfolio optimization algorithm based on hard constraint and warm starting,10.12178/1001-0548.2024162,https://doi.org/10.12178/1001-0548.2024162,Dianzi Keji Daxue Xuebao Journal of the University of Electronic Science and Technology of China,2025
fbec16f60f72,Exponential Improvement on Asian Option Pricing Through Quantum Preconditioning Methods,,,,2025
